actor,occurrence_count,rank,first_appearance,unique_dates
carp,1,2081,2025-01,['2025-01']
up against the occupation,1,2082,2025-01,['2025-01']
psl triangle nc,1,2083,2025-01,['2025-01']
siembra nc,1,2084,2025-01,['2025-01']
el pueblo,1,2085,2025-01,['2025-01']
duke beyond borders,1,2086,2025-01,['2025-01']
migrant roots media,1,2087,2025-01,['2025-01']
"nc public service workers union, ue local 150",1,2088,2025-01,['2025-01']
mi barrio,1,2089,2025-01,['2025-01']
muslims for social justice,1,2090,2025-01,['2025-01']
triangle healthcare workers for palestine,1,2091,2025-01,['2025-01']
philadelphia aarpr,1,2092,2025-01,['2025-01']
streets calling bike club,1,2093,2024-03,['2024-03']
black joyride,1,2094,2024-03,['2024-03']
hilltop patriots,1,2095,2024-03,['2024-03']
durham city workers union ue 150,1,2096,2024-03,['2024-03']
city workers,1,2097,2024-03,['2024-03']
uc workers,1,2098,2024-03,['2024-03']
lenoxx street tenants union,1,2099,2024-03,['2024-03']
binghamton oneonta building trades council,1,2100,2024-03,['2024-03']
laborers 785 union,1,2101,2024-03,['2024-03']
squeaky pig chamber orchestra,1,2102,2024-03,['2024-03']
people's party of texas,1,2103,2024-03,['2024-03']
la monarca,1,2104,2024-03,['2024-03']
dallas brown berets,1,2105,2024-03,['2024-03']
north texas lulac,1,2106,2024-03,['2024-03']
new york taxi workers alliance,1,2107,2024-08,['2024-08']
the border crossed us,1,2108,2024-03,['2024-03']
catholic charities,1,2109,2024-03,['2024-03']
lawyers,1,2110,2024-03,['2024-03']
first united methodist church,1,2111,2024-03,['2024-03']
dmv students for justice in palestine,1,2112,2024-03,['2024-03']
within our lifetime,1,2113,2024-03,['2024-03']
eviction diversion program,1,2114,2024-04,['2024-04']
todos santos tenants union,1,2115,2024-04,['2024-04']
palestine revolution,1,2116,2024-04,['2024-04']
brown berets,1,2117,2024-04,['2024-04']
fresno hunger strike,1,2118,2024-04,['2024-04']
irvine asians for peace,1,2119,2024-04,['2024-04']
public higher education network of massachusetts,1,2120,2024-04,['2024-04']
st. nick's alliance,1,2121,2024-04,['2024-04']
ut-arlington sds,1,2122,2024-03,['2024-03']
amp philadelphia,1,2123,2024-03,['2024-03']
philadelphians of palestine,1,2124,2024-03,['2024-03']
george wiley center,1,2125,2024-03,['2024-03']
east bay citizens for peace,1,2126,2024-03,['2024-03']
social justice activists,1,2127,2024-03,['2024-03']
low-income voters,1,2128,2024-03,['2024-03']
third act virginia,1,2129,2024-03,['2024-03']
organization supporters,1,2130,2024-03,['2024-03']
democratic lawmakers,1,2131,2024-03,['2024-03']
graduate employee organization (geo) at the university of massachusetts,1,2132,2024-03,['2024-03']
graduate employees,1,2133,2024-03,['2024-03']
latino union of chicago,1,2134,2024-03,['2024-03']
community care collective,1,2135,2024-03,['2024-03']
enclave tenant association,1,2136,2024-03,['2024-03']
better streets chicago,1,2137,2024-03,['2024-03']
12th ward ipo,1,2138,2024-03,['2024-03']
15th ward neighbors,1,2139,2024-03,['2024-03']
25th ward independent political organization,1,2140,2024-03,['2024-03']
new york city progressive caucus,1,2141,2024-03,['2024-03']
anhd nyc,1,2142,2024-03,['2024-03']
tenants & workers united,1,2143,2024-03,['2024-03']
los angeles center for community law and action,1,2144,2024-03,['2024-03']
the people's park community,1,2145,2024-03,['2024-03']
"food not bombs, berkeley copwatch decal",1,2146,2024-03,['2024-03']
residents of people's park,1,2147,2024-03,['2024-03']
powhr coalition,1,2148,2024-03,['2024-03']
new river valley chapter of virginia organizing,1,2149,2024-03,['2024-03']
tiny village,1,2150,2024-03,['2024-03']
chicago bike grid now,1,2151,2024-03,['2024-03']
progressive maryland,1,2152,2024-03,['2024-03']
sierra club of wa state,1,2153,2024-04,['2024-04']
urban league of metropolitan seattle,1,2154,2024-04,['2024-04']
the urbanist,1,2155,2024-04,['2024-04']
west seattle bike connections,1,2156,2024-04,['2024-04']
yalies 4 palestine,1,2157,2024-04,['2024-04']
food not bombs dc,1,2158,2024-04,['2024-04']
freedom church,1,2159,2024-04,['2024-04']
queer and trans community action project,1,2160,2024-04,['2024-04']
new orleans for community oversight of the police,1,2161,2024-04,['2024-04']
new orleans stop helping israel's ports,1,2162,2024-04,['2024-04']
freedom from the streets,1,2163,2024-04,['2024-04']
unm solidarity encampment,1,2164,2024-04,['2024-04']
united graduate workers of unm,1,2165,2024-04,['2024-04']
rank-and-file union members,1,2166,2024-04,['2024-04']
colorado springs dsa,1,2167,2024-04,['2024-04']
dream action oklahoma,1,2168,2024-04,['2024-04']
beldaan solidarity network,1,2169,2024-04,['2024-04']
central coast student coalition,1,2170,2024-04,['2024-04']
community partners in action,1,2171,2024-04,['2024-04']
nonprofit workers,1,2172,2024-04,['2024-04']
trip,1,2173,2024-04,['2024-04']
casa maria soup kitchen workers,1,2174,2024-04,['2024-04']
northern regional center for independent living,1,2175,2024-04,['2024-04']
dmv coalition of students for justice in palestine,1,2176,2024-04,['2024-04']
students across the dmv,1,2177,2024-04,['2024-04']
prayer,1,2178,2024-04,['2024-04']
palm sunday service,1,2179,2024-04,['2024-04']
l.a. may day coalition,1,2180,2024-05,['2024-05']
seiu local 721,1,2181,2024-05,['2024-05']
uclu oklahoma,1,2182,2024-04,['2024-04']
emerson tenants union,1,2183,2024-04,['2024-04']
ny transgender advocacy group,1,2184,2023-04,['2023-04']
the homeless union of san luis obispo,1,2185,2024-04,['2024-04']
black migrants,1,2186,2024-04,['2024-04']
march for life,1,2187,2024-04,['2024-04']
youth climate strike la,1,2188,2024-04,['2024-04']
fridays for future la,1,2189,2024-04,['2024-04']
sunrise movement la,1,2190,2024-04,['2024-04']
extinction rebellion la,1,2191,2024-04,['2024-04']
third act,1,2192,2024-04,['2024-04']
fridays for future orange county,1,2193,2024-04,['2024-04']
dsa-lb,1,2194,2024-04,['2024-04']
peace action liberation initiative,1,2195,2024-04,['2024-04']
dissenters dmv,1,2196,2024-04,['2024-04']
seattle subway,1,2197,2024-04,['2024-04']
students for justice in palestine dmv coalition,1,2198,2024-04,['2024-04']
sag-aftra & sister guild members for ceasefire,1,2199,2024-04,['2024-04']
chicago alliance against racist & political repression,1,2200,2024-04,['2024-04']
al-nahda center,1,2201,2024-04,['2024-04']
350 seattle,1,2202,2024-04,['2024-04']
ampersand bikes club,1,2203,2024-04,['2024-04']
aurora reimagined coalition,1,2204,2024-04,['2024-04']
disability mobility initiative,1,2205,2024-04,['2024-04']
disability rights wa,1,2206,2024-04,['2024-04']
house our neighbors,1,2207,2024-04,['2024-04']
jackson park 4 all,1,2208,2024-04,['2024-04']
lid i-5,1,2209,2024-04,['2024-04']
puget sound sage,1,2210,2024-04,['2024-04']
seattle neighborhood,1,2211,2024-04,['2024-04']
greenways,1,2212,2024-04,['2024-04']
us medical students 4 palestine,1,2213,2024-04,['2024-04']
coalition for liberation,1,2214,2024-01,['2024-01']
boston tea party,1,2215,2024-01,['2024-01']
texas interfaith for human rights,1,2216,2024-01,['2024-01']
indiana tenant association,1,2217,2024-01,['2024-01']
ywca,1,2218,2024-01,['2024-01']
single moms,1,2219,2024-01,['2024-01']
black women,1,2220,2024-01,['2024-01']
millennials,1,2221,2024-01,['2024-01']
people with disabilities,1,2222,2024-01,['2024-01']
comunidad sin fronteras,1,2223,2024-01,['2024-01']
venezuelan families,1,2224,2024-01,['2024-01']
la puente,1,2225,2024-01,['2024-01']
connecticut citizen action group,1,2226,2024-02,['2024-02']
connecticut coalition for economic and environmental justice,1,2227,2024-02,['2024-02']
philly liberation center,1,2228,2024-03,['2024-03']
connecticut league of conservation voters,1,2229,2024-02,['2024-02']
ct nofa: the northeast organic farming association of ct,1,2230,2024-02,['2024-02']
dayenu circle of temple bnai israel willimantic,1,2231,2024-02,['2024-02']
interreligious eco-justice network,1,2232,2024-02,['2024-02']
living wisely and well on planet earth,1,2233,2024-02,['2024-02']
new london maritime society,1,2234,2024-02,['2024-02']
nonprofit accountability group,1,2235,2024-02,['2024-02']
save the sound,1,2236,2024-02,['2024-02']
sierra club connecticut,1,2237,2024-02,['2024-02']
sunrise movement connecticut,1,2238,2024-02,['2024-02']
sunrise wesleyan,1,2239,2024-02,['2024-02']
third act connecticut,1,2240,2024-02,['2024-02']
united universalist society,1,2241,2024-02,['2024-02']
east sustainable living committee,1,2242,2024-02,['2024-02']
connecticut interfaith power & light,1,2243,2024-02,['2024-02']
oc justice initiative,1,2244,2024-01,['2024-01']
free my people,1,2245,2024-01,['2024-01']
harriet tubman center,1,2246,2024-01,['2024-01']
stamford mlk committee president,1,2247,2024-01,['2024-01']
"ue150, nc public service workers union",1,2248,2024-01,['2024-01']
sunrise durham area,1,2249,2024-01,['2024-01']
southern colorado black and pink,1,2250,2024-01,['2024-01']
colorado indigenous brown berets,1,2251,2024-01,['2024-01']
housing coalition of southeast vermont,1,2252,2024-01,['2024-01']
southeast vermont community action,1,2253,2024-01,['2024-01']
homeless and formerly homeless vermonters,1,2254,2024-01,['2024-01']
homelessness and housing advocates,1,2255,2024-01,['2024-01']
chittenden county homeless alliance,1,2256,2024-01,['2024-01']
vermont agency of human services,1,2257,2024-01,['2024-01']
muslim professionals,1,2258,2024-01,['2024-01']
champlain housing trust,1,2259,2024-01,['2024-01']
committee on temporary shelter,1,2260,2024-01,['2024-01']
people who currently are or were previously unhoused,1,2261,2024-01,['2024-01']
champlain valley office of economic opportunity,1,2262,2024-01,['2024-01']
columbus dionysus,1,2263,2024-01,['2024-01']
the black queer coalition,1,2264,2024-01,['2024-01']
ohio student activist alliance,1,2265,2024-01,['2024-01']
trans*mission,1,2266,2024-01,['2024-01']
ohio youth for climate justice,1,2267,2024-01,['2024-01']
planned parenthood generation action,1,2268,2024-01,['2024-01']
rjps,1,2269,2024-01,['2024-01']
bronx palestine solidarity committee,1,2270,2024-01,['2024-01']
direct action for rights & equality,1,2271,2024-01,['2024-01']
dallas with palestine,1,2272,2024-01,['2024-01']
spectrum youth and family services,1,2273,2024-01,['2024-01']
parents matter coalition,1,2274,2024-02,['2024-02']
right to parent ballot initiative,1,2275,2024-02,['2024-02']
"community members, parents",1,2276,2024-02,['2024-02']
"madison county tenants union, berea college gender and sexuality allians",1,2277,2024-02,['2024-02']
united campus workers arizona,1,2278,2024-02,['2024-02']
rainbow pride of mobile,1,2279,2024-02,['2024-02']
labor united educational league,1,2280,2024-02,['2024-02']
revolutionary workers front,1,2281,2024-02,['2024-02']
alianza tenant union,1,2282,2024-02,['2024-02']
silent voices united inc,1,2283,2024-02,['2024-02']
st nicholas houses resident association,1,2284,2024-02,['2024-02']
people's defense front northern appalachia,1,2285,2024-02,['2024-02']
penn state students for justice in palestine,1,2286,2024-02,['2024-02']
clegy,1,2287,2024-02,['2024-02']
windham-willimantic naacp environmental justice committee,1,2288,2024-02,['2024-02']
hias,1,2289,2024-03,['2024-03']
new york jewish agenda,1,2290,2024-03,['2024-03']
the synagogue coalition on the refugee and immigration crisis,1,2291,2024-03,['2024-03']
maui for palestine,1,2292,2024-03,['2024-03']
rise for palestine,1,2293,2024-03,['2024-03']
vanderburgh humane society,1,2294,2024-03,['2024-03']
it takes a village,1,2295,2024-03,['2024-03']
"1199seiu, the labor council for latin american advancement",1,2296,2024-03,['2024-03']
housing=health,1,2297,2024-03,['2024-03']
episcopal diocese of massachusetts,1,2298,2024-03,['2024-03']
physicians for social responsibility,1,2299,2024-03,['2024-03']
poor and low-wealth people,1,2300,2024-03,['2024-03']
philly boricuas,1,2301,2024-03,['2024-03']
jefferson university sjp,1,2302,2024-03,['2024-03']
marlene myerson jcc manhattan,1,2303,2024-03,['2024-03']
waynesboro anti-war group,1,2304,2024-02,['2024-02']
street preachers,1,2305,2024-02,['2024-02']
the portico,1,2306,2024-02,['2024-02']
hyde park united methodist church,1,2307,2024-02,['2024-02']
pennsylvanians,1,2308,2024-02,['2024-02']
"muslim, arab, and palestinian community and faith leaders",1,2309,2024-02,['2024-02']
youth organizers,1,2310,2024-02,['2024-02']
foster parents,1,2311,2024-02,['2024-02']
chicano steering committee,1,2312,2024-02,['2024-02']
the coalition of the underserved communities of san diego,1,2313,2024-02,['2024-02']
ct palestine solidarity coalition,1,2314,2024-02,['2024-02']
organizers and activists from across connecticut,1,2315,2024-02,['2024-02']
the washington immigrant solidarity network,1,2316,2024-02,['2024-02']
homeschoolers,1,2317,2024-02,['2024-02']
mississippi coalition against domestic violence,1,2318,2024-02,['2024-02']
"casa, congregation action network",1,2319,2024-02,['2024-02']
low-income renters,1,2320,2024-02,['2024-02']
tri city mobile court homeowners,1,2321,2024-02,['2024-02']
psl salt lake,1,2322,2024-02,['2024-02']
palestinian solidarity association of utah,1,2323,2024-02,['2024-02']
the alliance of californians for community empowerment,1,2324,2024-02,['2024-02']
american federation of state 3299,1,2325,2024-02,['2024-02']
uc san diego students,1,2326,2024-02,['2024-02']
uc san diego workers,1,2327,2024-02,['2024-02']
gays against guns,1,2328,2024-02,['2024-02']
oregon recovers,1,2329,2024-02,['2024-02']
health workers for palestine,1,2330,2024-02,['2024-02']
doctors against genocide,1,2331,2024-02,['2024-02']
students for a democratic society denver,1,2332,2024-02,['2024-02']
new york city residents alliance,1,2333,2024-02,['2024-02']
small merchant chamber of commerce,1,2334,2024-02,['2024-02']
unt palestine solidarity committee,1,2335,2024-07,['2024-07']
texas for palestine,1,2336,2024-07,['2024-07']
survivors of the abortion holocaust,1,2337,2024-07,['2024-07']
nycha residents,1,2338,2024-07,['2024-07']
peoria for palestine,1,2339,2024-07,['2024-07']
rochester for harris,1,2340,2024-07,['2024-07']
la colectiva 703,1,2341,2024-07,['2024-07']
for us not amazon,1,2342,2024-07,['2024-07']
athena coalition,1,2343,2024-07,['2024-07']
homeless united for friendship and freedom,1,2344,2024-07,['2024-07']
brooklyn eviction defense tenant union,1,2345,2024-07,['2024-07']
tourism workers rising la,1,2346,2024-07,['2024-07']
laane,1,2347,2024-07,['2024-07']
housing advoactes,1,2348,2024-08,['2024-08']
living wage,1,2349,2024-05,['2024-05']
homeless united for friendship and freedom santa cruz,1,2350,2024-08,['2024-08']
providers,1,2351,2024-08,['2024-08']
faith community members,1,2352,2024-08,['2024-08']
authors against book bans,1,2353,2024-08,['2024-08']
vermont worker's center,1,2354,2024-08,['2024-08']
muwekma ohlone tribe,1,2355,2024-08,['2024-08']
march on the dnc,1,2356,2024-08,['2024-08']
anti-war committee chicago,1,2357,2024-08,['2024-08']
international league of peoples' struggle,1,2358,2024-08,['2024-08']
jvp dc metro,1,2359,2024-08,['2024-08']
anakbyan dc,1,2360,2024-08,['2024-08']
dc families for ceasefire,1,2361,2024-08,['2024-08']
dc dissenters,1,2362,2024-08,['2024-08']
dc residents,1,2363,2024-08,['2024-08']
families against military madness,1,2364,2024-08,['2024-08']
psl maine,1,2365,2024-07,['2024-07']
mvpr,1,2366,2024-07,['2024-07']
the white butterfly with a cause,1,2367,2024-07,['2024-07']
needlepoint sanctuary,1,2368,2024-07,['2024-07']
empire 13,1,2369,2024-07,['2024-07']
solidarity coalition stl metro east,1,2370,2024-07,['2024-07']
city of joy fellowship,1,2371,2024-07,['2024-07']
meoc,1,2372,2024-07,['2024-07']
i am estl,1,2373,2024-07,['2024-07']
loud for liberation,1,2374,2024-07,['2024-07']
queers undermining israeli terror!,1,2375,2024-07,['2024-07']
oc banner drop 4 pali,1,2376,2024-07,['2024-07']
food not bombs santa cruz,1,2377,2024-07,['2024-07']
concourse village tenats,1,2378,2024-07,['2024-07']
dfw anti-war committee,1,2379,2024-07,['2024-07']
montefiore medical center employees,1,2380,2024-07,['2024-07']
twin ports anti-imperialist action,1,2381,2024-07,['2024-07']
avocado heights vaqueras,1,2382,2024-07,['2024-07']
union de ranchos,1,2383,2024-07,['2024-07']
venice justice committee,1,2384,2024-07,['2024-07']
the american legion,1,2385,2024-07,['2024-07']
pal-awda ny/nj,1,2386,2024-07,['2024-07']
palestinian assembly for liberation,1,2387,2024-07,['2024-07']
cuny for palestine,1,2388,2024-07,['2024-07']
crackhead barney & friends,1,2389,2024-07,['2024-07']
trump supporters,1,2390,2024-07,['2024-07']
free palestine tarrant,1,2391,2024-07,['2024-07']
muslim american society pace,1,2392,2024-07,['2024-07']
sjp at ut arlington,1,2393,2024-07,['2024-07']
the committee of interns and residents,1,2394,2024-07,['2024-07']
southwest coalition for palestine,1,2395,2024-08,['2024-08']
santa fe ad hoc committee on palestine,1,2396,2024-08,['2024-08']
jewish voice for peace albuquerque,1,2397,2024-08,['2024-08']
surj northern new mexico,1,2398,2024-08,['2024-08']
demand nuclear abolition,1,2399,2024-08,['2024-08']
youth united for climate crisis action,1,2400,2024-08,['2024-08']
solidarity 2020 and beyond,1,2401,2024-08,['2024-08']
unm leaders for environmental action and foresight,1,2402,2024-08,['2024-08']
ifnotnow ny,1,2403,2024-08,['2024-08']
theater workers for a ceasefire,1,2404,2024-08,['2024-08']
association of legislative employees union,1,2405,2024-08,['2024-08']
ue eastern region,1,2406,2024-08,['2024-08']
sag-aftra for ceasefire,1,2407,2024-08,['2024-08']
jvp action,1,2408,2024-08,['2024-08']
listen to wisconsin uninstructed,1,2409,2024-08,['2024-08']
ny-09 for palestine,1,2410,2024-08,['2024-08']
middle church,1,2411,2024-08,['2024-08']
staten island 4 palestine,1,2412,2024-08,['2024-08']
national writers union,1,2413,2024-08,['2024-08']
common defense,1,2414,2024-08,['2024-08']
mpower change,1,2415,2024-08,['2024-08']
muslims for progress,1,2416,2024-08,['2024-08']
brandworkers,1,2417,2024-08,['2024-08']
nyc educators for palestine,1,2418,2024-08,['2024-08']
new york progressive action network,1,2419,2024-08,['2024-08']
national women's liberation,1,2420,2024-08,['2024-08']
brooklyn families for palestine,1,2421,2024-08,['2024-08']
dancers for palestine,1,2422,2024-08,['2024-08']
bangaldeshi americans for political progress,1,2423,2024-08,['2024-08']
judson,1,2424,2024-08,['2024-08']
wisconsin coalition for justice in palestine,1,2425,2024-08,['2024-08']
codepink madison,1,2426,2024-08,['2024-08']
madison area dsa,1,2427,2024-08,['2024-08']
sjp uw madison,1,2428,2024-08,['2024-08']
jvp madison,1,2429,2024-08,['2024-08']
madison-rafah sister city project,1,2430,2024-08,['2024-08']
freedom action now,1,2431,2024-08,['2024-08']
751 s normandie tenants association,1,2432,2024-08,['2024-08']
poor people⊙s army,1,2433,2024-08,['2024-08']
vote no preference ma coalition,1,2434,2024-08,['2024-08']
ifnotnow boston,1,2435,2024-08,['2024-08']
jvp boston,1,2436,2024-08,['2024-08']
interfaith ceasefire,1,2437,2024-08,['2024-08']
malden for palestine,1,2438,2024-08,['2024-08']
santa feans for justice in palestine,1,2439,2024-08,['2024-08']
massachusetts teachers association rank & file for palestine,1,2440,2024-08,['2024-08']
muslim justice league,1,2441,2024-08,['2024-08']
surj boston,1,2442,2024-08,['2024-08']
cair massachusetts,1,2443,2024-08,['2024-08']
good trouble brass band,1,2444,2024-08,['2024-08']
western massachusetts coalition for palestine,1,2445,2024-08,['2024-08']
demilitarize western massachusetts,1,2446,2024-08,['2024-08']
river valley dsa,1,2447,2024-08,['2024-08']
jvp western massachusetts,1,2448,2024-08,['2024-08']
jvp triangle nc,1,2449,2024-08,['2024-08']
ceasefire now nj,1,2450,2024-08,['2024-08']
ifnotnow north jersey,1,2451,2024-08,['2024-08']
jvp north nj chapter,1,2452,2024-08,['2024-08']
north nj dsa,1,2453,2024-08,['2024-08']
vote uncommitted new mexico,1,2454,2024-08,['2024-08']
medford for palestine,1,2455,2024-08,['2024-08']
asians for collective liberation,1,2456,2024-05,['2024-05']
familias unidas por la justicia,1,2457,2024-05,['2024-05']
waisn,1,2458,2024-05,['2024-05']
wfse,1,2459,2024-05,['2024-05']
ufcw3000,1,2460,2024-05,['2024-05']
mujeres in actions,1,2461,2024-05,['2024-05']
spokane low income housing consortium,1,2462,2024-05,['2024-05']
spokane alliance,1,2463,2024-05,['2024-05']
nw laborers,1,2464,2024-05,['2024-05']
washington states carpenters,1,2465,2024-05,['2024-05']
front and centered,1,2466,2024-05,['2024-05']
unity delivered,1,2467,2024-05,['2024-05']
movemento congo-angola,1,2468,2024-05,['2024-05']
congolese angolan movement,1,2469,2024-05,['2024-05']
maine students for palestine,1,2470,2024-07,['2024-07']
the rent is too damn high,1,2471,2024-05,['2024-05']
residential renters,1,2472,2024-05,['2024-05']
seiu ma state council,1,2473,2024-05,['2024-05']
unitarian universalist mass action,1,2474,2024-05,['2024-05']
mostly latinos,1,2475,2024-05,['2024-05']
asylum seeker solidarity collective,1,2476,2024-05,['2024-05']
base camp lindsey,1,2477,2024-05,['2024-05']
active duty military,1,2478,2024-05,['2024-05']
bite back baltimore,1,2479,2024-05,['2024-05']
southern brooklyn chinese community,1,2480,2024-05,['2024-05']
muslim community network,1,2481,2024-05,['2024-05']
new destiny housing,1,2482,2024-05,['2024-05']
cchaya,1,2483,2024-05,['2024-05']
seiu healthcare committee of interns and residents,1,2484,2024-05,['2024-05']
pacific northwest organizing chapter of international migrants alliance,1,2485,2024-05,['2024-05']
jobs with justice,1,2486,2024-05,['2024-05']
excelsior works,1,2487,2024-05,['2024-05']
bay area essential workers alliance,1,2488,2024-05,['2024-05']
sf living wage coalition,1,2489,2024-05,['2024-05']
left party y movimiento por los derechos de los inmigrantes,1,2490,2024-05,['2024-05']
socialists without borders,1,2491,2024-05,['2024-05']
united front for a general strike,1,2492,2024-05,['2024-05']
mothers on the march,1,2493,2024-05,['2024-05']
the revolutionary workers front,1,2494,2024-05,['2024-05']
heat,1,2495,2024-05,['2024-05']
el centro cultural de mexico,1,2496,2024-05,['2024-05']
colectivo tonantzin,1,2497,2024-05,['2024-05']
cso oc,1,2498,2024-05,['2024-05']
chicanxs unidxs,1,2499,2024-05,['2024-05']
muslims for community action & support,1,2500,2024-05,['2024-05']
make the road together,1,2501,2024-05,['2024-05']
national debt collective,1,2502,2024-05,['2024-05']
higher ed for all coalition,1,2503,2024-05,['2024-05']
triangle stop cop city,1,2504,2024-05,['2024-05']
carrboro free market,1,2505,2024-05,['2024-05']
raleigh united mutual aid hub,1,2506,2024-05,['2024-05']
triangle guerrilla cinema,1,2507,2024-05,['2024-05']
north durham mutual aid,1,2508,2024-05,['2024-05']
psl carolinas,1,2509,2024-05,['2024-05']
union de trabajadores agricolas,1,2510,2024-05,['2024-05']
latinos en spokane,1,2511,2024-05,['2024-05']
dorothy day labor,1,2512,2024-05,['2024-05']
spectrum center,1,2513,2024-05,['2024-05']
spokane 350,1,2514,2024-05,['2024-05']
vietrise,1,2515,2024-05,['2024-05']
la tenants union - northeast local,1,2516,2024-06,['2024-06']
ny communities for change,1,2517,2024-06,['2024-06']
defend harlem,1,2518,2024-06,['2024-06']
white lives matter colorado,1,2519,2024-06,['2024-06']
rocky mountain resistance,1,2520,2024-06,['2024-06']
black leadership coalition of kentucky,1,2521,2024-06,['2024-06']
vocal ky,1,2522,2024-06,['2024-06']
forward justice action network,1,2523,2024-06,['2024-06']
u-act,1,2524,2024-06,['2024-06']
yale endowment justice,1,2525,2024-06,['2024-06']
ct dissenters,1,2526,2024-06,['2024-06']
concerned citizens of norfolk,1,2527,2024-06,['2024-06']
local resdients,1,2528,2024-06,['2024-06']
norfolk welcome wagon,1,2529,2024-06,['2024-06']
northwest bronx ccc,1,2530,2024-05,['2024-05']
uvm staff united,1,2531,2024-06,['2024-06']
congressional progressive caucus center,1,2532,2024-06,['2024-06']
national council of churches,1,2533,2024-06,['2024-06']
afl-cio,1,2534,2024-06,['2024-06']
washington teachers union,1,2535,2024-06,['2024-06']
nyc dyke march,1,2536,2024-06,['2024-06']
chud,1,2537,2024-06,['2024-06']
keystone residents,1,2538,2024-07,['2024-07']
socal sjp,1,2539,2024-07,['2024-07']
uci sjp,1,2540,2024-07,['2024-07']
usc divest from death,1,2541,2024-07,['2024-07']
"austin mutual aid, vocal-tx, healing project",1,2542,2024-07,['2024-07']
maine coalition for palestine,1,2543,2024-07,['2024-07']
healthcare workers for palestine maine,1,2544,2024-07,['2024-07']
norfolk strong,1,2545,2024-06,['2024-06']
familias unidas del chamizal,1,2546,2024-05,['2024-05']
farm workers,1,2547,2024-05,['2024-05']
mass struggle,1,2548,2024-05,['2024-05']
jews united for racial & economic justice,1,2549,2024-05,['2024-05']
domestic violence and sexual assault survivors,1,2550,2024-05,['2024-05']
polo's pantry,1,2551,2024-05,['2024-05']
prensa pobre,1,2552,2024-05,['2024-05']
midnight books,1,2553,2024-05,['2024-05']
housing for juanita,1,2554,2024-05,['2024-05']
cced,1,2555,2024-05,['2024-05']
jews against white supremacy,1,2556,2024-06,['2024-06']
nyc labor for palestine,1,2557,2024-06,['2024-06']
tenats of reynoldsburg estates mobile home park,1,2558,2024-06,['2024-06']
community care tucson,1,2559,2024-06,['2024-06']
manchester housing alliance,1,2560,2024-06,['2024-06']
aid groups,1,2561,2024-06,['2024-06']
bike loud pdx,1,2562,2024-06,['2024-06']
portland: neighbors welcome,1,2563,2024-06,['2024-06']
bike summer,1,2564,2024-06,['2024-06']
ditmars block association,1,2565,2024-06,['2024-06']
united activists of fort wayne indiana,1,2566,2024-06,['2024-06']
tenants against policing,1,2567,2024-06,['2024-06']
bay area tenant and neighborhood councl,1,2568,2024-06,['2024-06']
newark solidarity coalition,1,2569,2024-06,['2024-06']
cultural workers,1,2570,2024-06,['2024-06']
hotel and gaming trades council,1,2571,2024-06,['2024-06']
real estate board of new york,1,2572,2024-06,['2024-06']
brokers,1,2573,2024-06,['2024-06']
granite state organizing project,1,2574,2024-06,['2024-06']
the unitarian universalist church of manchester,1,2575,2024-06,['2024-06']
tucson tenants unit,1,2576,2024-06,['2024-06']
santa clara county single-payer healthcare coalition,1,2577,2021-05,['2021-05']
unite-here,1,2578,2021-05,['2021-05']
freedom road socialist organization-tampa district,1,2579,2021-05,['2021-05']
tampa bay community action,1,2580,2021-05,['2021-05']
committee,1,2581,2021-05,['2021-05']
ibew local 824,1,2582,2021-05,['2021-05']
labor and community activists,1,2583,2021-05,['2021-05']
iue/cwa local 201,1,2584,2021-05,['2021-05']
the highlands coalition,1,2585,2021-05,['2021-05']
latina center maria,1,2586,2021-05,['2021-05']
lynn latino leadership coalition,1,2587,2021-05,['2021-05']
mass senior action council,1,2588,2021-05,['2021-05']
diverse people united,1,2589,2021-05,['2021-05']
nevada homeless alliance,1,2590,2022-12,['2022-12']
western pa unemployed council,1,2591,2021-05,['2021-05']
psl pittsburgh,1,2592,2021-05,['2021-05']
answer pittsburgh,1,2593,2021-05,['2021-05']
homes not handcuffs,1,2594,2021-05,['2021-05']
battery park movement,1,2595,2021-05,['2021-05']
drum,1,2596,2021-05,['2021-05']
stop the sweeps atx,1,2597,2021-05,['2021-05']
uc berkeley cops off campus,1,2598,2021-05,['2021-05']
indian people organizing for change,1,2599,2021-05,['2021-05']
we stand united san diego,1,2600,2021-05,['2021-05']
the housing and community development network of nj,1,2601,2021-05,['2021-05']
garden state episcopal cdc,1,2602,2021-05,['2021-05']
nj institute for social justice,1,2603,2021-05,['2021-05']
north shore labor council,1,2604,2021-05,['2021-05']
gender odyssey,1,2605,2021-04,['2021-04']
pride student union,1,2606,2021-04,['2021-04']
planned parenthood gen action,1,2607,2021-04,['2021-04']
florida coalition for transgender liberation,1,2608,2021-04,['2021-04']
trangender students and community members,1,2609,2021-04,['2021-04']
mdp tenants council,1,2610,2021-04,['2021-04']
stop island hills,1,2611,2021-04,['2021-04']
80% coalition,1,2612,2021-04,['2021-04']
carthage students,1,2613,2021-04,['2021-04']
democracy 4 battery park city,1,2614,2021-04,['2021-04']
downtown independent democrats,1,2615,2021-04,['2021-04']
humanizing spokane,1,2616,2021-04,['2021-04']
fight the neu luxury dorm,1,2617,2021-04,['2021-04']
philipino association of workers and immigrants,1,2618,2021-05,['2021-05']
nu for the common good,1,2619,2021-04,['2021-04']
