actor,occurrence_count,rank,first_appearance,unique_dates
fiu students demand action,1,2604,2023-04,['2023-04']
idaho county republican central committee,1,2605,2023-04,['2023-04']
east against gun violence,1,2606,2023-04,['2023-04']
kamiak demands action,1,2607,2023-04,['2023-04']
stop the violence: lynn,1,2608,2023-09,['2023-09']
nebraska students demand action,1,2609,2023-04,['2023-04']
advocates for charles mcneair,1,2610,2023-09,['2023-09']
previously incarcerated people,1,2611,2023-09,['2023-09']
michael thompson clemency project,1,2612,2023-09,['2023-09']
gesu parish,1,2613,2023-04,['2023-04']
fisk university alpha kappa alpha,1,2614,2023-04,['2023-04']
san francisco democratic party,1,2615,2023-04,['2023-04']
alice b. toklas lgbtq democratic club,1,2616,2023-04,['2023-04']
the people's march,1,2617,2023-04,['2023-04']
tewa women united,1,2618,2023-09,['2023-09']
prutehi litekyan,1,2619,2023-09,['2023-09']
ritidian landowners coalition,1,2620,2023-09,['2023-09']
indiana state teachers association,1,2621,2023-04,['2023-04']
justice for jalani lovett,1,2622,2023-09,['2023-09']
montana human rights network,1,2623,2023-04,['2023-04']
uniting and healing through hope of monroe county,1,2624,2023-09,['2023-09']
women's declaration international,1,2625,2023-09,['2023-09']
family members of victims,1,2626,2023-04,['2023-04']
san bernardino county democratic party,1,2627,2023-09,['2023-09']
youngstown united as one,1,2628,2023-09,['2023-09']
quis 4 life,1,2629,2023-09,['2023-09']
community supporters,1,2630,2023-04,['2023-04']
"#getmenout, justice speaks: free speech for women",1,2631,2023-04,['2023-04']
planned parenthood texas votes,1,2632,2023-04,['2023-04']
members of the south asian community,1,2633,2023-09,['2023-09']
planned parenthood of greater texas,1,2634,2023-04,['2023-04']
utsav,1,2635,2023-09,['2023-09']
planned parenthood of south texas,1,2636,2023-04,['2023-04']
bayat foundation,1,2637,2023-09,['2023-09']
building better communities,1,2638,2023-09,['2023-09']
assemblywoman,1,2639,2023-04,['2023-04']
women's march fort myers,1,2640,2023-04,['2023-04']
gun owners action league,1,2641,2023-09,['2023-09']
indivisible chicago alliance,1,2642,2023-04,['2023-04']
move legacy,1,2643,2023-09,['2023-09']
young democrats of chicago,1,2644,2023-04,['2023-04']
sullivan county democratic party,1,2645,2023-04,['2023-04']
protect the vote georgia,1,2646,2023-04,['2023-04']
mcallen federation of teachers,1,2647,2023-04,['2023-04']
voters,1,2648,2023-04,['2023-04']
students demand action: reco,1,2649,2023-04,['2023-04']
shelby county democratic party,1,2650,2023-04,['2023-04']
scyd,1,2651,2023-04,['2023-04']
black organizing fellowship,1,2652,2023-04,['2023-04']
black lifestyle advocates for culture and knowledge,1,2653,2023-04,['2023-04']
jax takes action,1,2654,2023-09,['2023-09']
protect guam water,1,2655,2023-09,['2023-09']
the equity alliance fund,1,2656,2023-04,['2023-04']
area leaders,1,2657,2023-04,['2023-04']
hillsborough county teachers association,1,2658,2023-04,['2023-04']
equity alliance,1,2659,2023-08,['2023-08']
smashville proud boys,1,2660,2023-08,['2023-08']
san francisco solidarity collective,1,2661,2023-08,['2023-08']
russians for freedom in philadelphia,1,2662,2023-08,['2023-08']
university of south florida graduate assistants union,1,2663,2023-04,['2023-04']
recent russian immigrants,1,2664,2023-08,['2023-08']
north jersey dsa,1,2665,2023-08,['2023-08']
legacy youth academy,1,2666,2023-09,['2023-09']
tampa students for a democratic society,1,2667,2023-04,['2023-04']
voice of free russia,1,2668,2023-04,['2023-04']
lake county pride,1,2669,2023-05,['2023-05']
the center,1,2670,2023-05,['2023-05']
boots on the ground raleigh,1,2671,2023-08,['2023-08']
various militias,1,2672,2023-08,['2023-08']
lioness impacted women's alliance,1,2673,2023-08,['2023-08']
florida access network,1,2674,2023-05,['2023-05']
lclaa,1,2675,2023-05,['2023-05']
afscme local 3342,1,2676,2023-04,['2023-04']
justice for georgia,1,2677,2023-04,['2023-04']
unidosus,1,2678,2023-08,['2023-08']
new shiloh baptist church,1,2679,2023-08,['2023-08']
drum major institute,1,2680,2023-08,['2023-08']
atlanta justice alliance and mosaic,1,2681,2023-04,['2023-04']
mourners,1,2682,2023-04,['2023-04']
family members of deceased inmates,1,2683,2023-08,['2023-08']
trans and drag initiative,1,2684,2023-04,['2023-04']
former residents,1,2685,2023-08,['2023-08']
exilio unido ya,1,2686,2023-04,['2023-04']
texas students for dei,1,2687,2023-08,['2023-08']
local performers and artists,1,2688,2023-04,['2023-04']
pa united for change,1,2689,2023-04,['2023-04']
suppporters,1,2690,2023-08,['2023-08']
black and pink portland,1,2691,2023-08,['2023-08']
everett clinic defense,1,2692,2023-04,['2023-04']
march 5th movement,1,2693,2023-08,['2023-08']
our lady of the sacred heart church,1,2694,2023-08,['2023-08']
shelby county voters alliance,1,2695,2023-08,['2023-08']
texas state employees union,1,2696,2023-08,['2023-08']
secure jobs nyc,1,2697,2023-05,['2023-05']
adhikaar,1,2698,2023-05,['2023-05']
new immigrant community empowerment,1,2699,2023-05,['2023-05']
mixteca organization,1,2700,2023-05,['2023-05']
caribbean equality project,1,2701,2023-05,['2023-05']
mientras hay amor hay esperanza,1,2702,2023-08,['2023-08']
align,1,2703,2023-05,['2023-05']
students for a democratic society at uic,1,2704,2023-08,['2023-08']
904ward,1,2705,2023-05,['2023-05']
freelance solidarity project,1,2706,2023-05,['2023-05']
anakbayan uci,1,2707,2023-08,['2023-08']
mecha university of california irvine,1,2708,2023-08,['2023-08']
street vendors,1,2709,2023-05,['2023-05']
domestic workers,1,2710,2023-05,['2023-05']
bipartisan group of military veterans,1,2711,2023-08,['2023-08']
restaurant and cleaning workers,1,2712,2023-05,['2023-05']
porters,1,2713,2023-05,['2023-05']
community of veterans,1,2714,2023-08,['2023-08']
sunnyside community services,1,2715,2023-05,['2023-05']
flic,1,2716,2023-05,['2023-05']
capernaum cares outreach,1,2717,2023-08,['2023-08']
impulse,1,2718,2023-05,['2023-05']
philly 4 peace,1,2719,2023-08,['2023-08']
alianza del ambiente,1,2720,2023-05,['2023-05']
mountain view hope covenant church,1,2721,2023-08,['2023-08']
zebra youth,1,2722,2023-05,['2023-05']
poder latinx,1,2723,2023-05,['2023-05']
contigo,1,2724,2023-05,['2023-05']
lvlhs fight back!,1,2725,2023-08,['2023-08']
pride orlando,1,2726,2023-05,['2023-05']
lazos america unida,1,2727,2023-08,['2023-08']
women's voices of southwest florida,1,2728,2023-05,['2023-05']
decrim ny,1,2729,2023-05,['2023-05']
pathway resource center,1,2730,2023-08,['2023-08']
aclu of dc,1,2731,2023-08,['2023-08']
raise up ny,1,2732,2023-05,['2023-05']
teamsters local 904,1,2733,2023-05,['2023-05']
terfs,1,2734,2023-08,['2023-08']
the mami chelo foundation,1,2735,2023-08,['2023-08']
philadelphia anti-drug/anti-violence network,1,2736,2023-08,['2023-08']
black clergy of philadelphia and vicinity,1,2737,2023-08,['2023-08']
labor allies,1,2738,2023-04,['2023-04']
diva ministries,1,2739,2023-08,['2023-08']
be with survivors su,1,2740,2023-04,['2023-04']
united and healing through hope of monroe county,1,2741,2023-08,['2023-08']
youth vs. apocalypse,1,2742,2023-04,['2023-04']
black saint paul,1,2743,2023-08,['2023-08']
jacksonville dsa,1,2744,2023-04,['2023-04']
decarcerate illinois coalition,1,2745,2023-04,['2023-04']
cop watch minneapolis,1,2746,2023-08,['2023-08']
saint paul for justice,1,2747,2023-08,['2023-08']
minnesota protests,1,2748,2023-08,['2023-08']
healthy hood chicago,1,2749,2023-04,['2023-04']
justice4marcusgolden,1,2750,2023-08,['2023-08']
naacp salt lake,1,2751,2023-08,['2023-08']
hope for victims,1,2752,2023-04,['2023-04']
ogden naacp,1,2753,2023-08,['2023-08']
indigenous roots cultural arts center,1,2754,2023-08,['2023-08']
students from l&n stem academy,1,2755,2023-04,['2023-04']
minnesota wrongfully convicted judicial reform,1,2756,2023-09,['2023-09']
decarcerate mn,1,2757,2023-09,['2023-09']
connecticut john brown gun club,1,2758,2023-09,['2023-09']
self-defense brigade,1,2759,2023-09,['2023-09']
revolutionary workers united front,1,2760,2023-09,['2023-09']
united front committee for labor party,1,2761,2023-09,['2023-09']
texas freedom network,1,2762,2023-04,['2023-04']
gender & sexuality equity coalition,1,2763,2023-04,['2023-04']
cannabis advocates,1,2764,2023-04,['2023-04']
poor peoples army,1,2765,2023-08,['2023-08']
lives on the line,1,2766,2023-04,['2023-04']
michigan justice advocacy,1,2767,2023-04,['2023-04']
grand rapids alliance against racist and political oppression,1,2768,2023-08,['2023-08']
teamsters joint council 32,1,2769,2023-04,['2023-04']
vocal-ky,1,2770,2023-08,['2023-08']
small business owners,1,2771,2023-08,['2023-08']
criminal justice reformers,1,2772,2023-04,['2023-04']
republicans,1,2773,2023-08,['2023-08']
ct cannawarriors,1,2774,2023-04,['2023-04']
guardian angels,1,2775,2023-08,['2023-08']
guns to gardens louisville,1,2776,2023-08,['2023-08']
st. paul missionary baptist church,1,2777,2023-08,['2023-08']
toledo naacp,1,2778,2023-08,['2023-08']
100 moms coalition,1,2779,2023-04,['2023-04']
western mass. for the future,1,2780,2023-04,['2023-04']
coalition for peaceful toledo neighborhoods,1,2781,2023-08,['2023-08']
the movement,1,2782,2023-08,['2023-08']
communities against gun violence,1,2783,2023-08,['2023-08']
drums up guns down,1,2784,2023-04,['2023-04']
socal patriots,1,2785,2023-04,['2023-04']
occupy florida,1,2786,2023-04,['2023-04']
unity & struggle,1,2787,2023-08,['2023-08']
weelaunee defense society nyc,1,2788,2023-08,['2023-08']
florida justice league,1,2789,2023-08,['2023-08']
st. johns county young democrats,1,2790,2023-04,['2023-04']
national urban league,1,2791,2023-08,['2023-08']
delta sigma theta sorority inc.,1,2792,2023-08,['2023-08']
global black economic forum,1,2793,2023-08,['2023-08']
sisters 4 unity,1,2794,2023-08,['2023-08']
iowa wtf,1,2795,2023-04,['2023-04']
civic 2.0,1,2796,2023-04,['2023-04']
cleveland peacemakers alliance,1,2797,2023-04,['2023-04']
revolution rising pdx,1,2798,2023-04,['2023-04']
project success coalition,1,2799,2023-08,['2023-08']
heart of god ministries,1,2800,2023-04,['2023-04']
1utah project,1,2801,2023-08,['2023-08']
take 'em down jax,1,2802,2023-08,['2023-08']
older new jerseyans,1,2803,2023-04,['2023-04']
sjsu students against mass incarceration,1,2804,2023-04,['2023-04']
hearts on a wire,1,2805,2023-08,['2023-08']
bantu safe haven,1,2806,2023-08,['2023-08']
philly trans march,1,2807,2023-08,['2023-08']
new york freedom rally,1,2808,2023-08,['2023-08']
new hour ny,1,2809,2023-04,['2023-04']
ny transgender advocacy group,1,2810,2023-04,['2023-04']
bellmore patriots,1,2811,2023-08,['2023-08']
lgbt center nyc,1,2812,2023-04,['2023-04']
naacp youth,1,2813,2023-04,['2023-04']
afa-cwa,1,2814,2023-08,['2023-08']
mv panthers club,1,2815,2024-10,['2024-10']
free her,1,2816,2024-10,['2024-10']
umn sds,1,2817,2024-10,['2024-10']
ohio fair courts alliance,1,2818,2024-10,['2024-10']
ohio families unite for political action and change,1,2819,2024-10,['2024-10']
mas youth center,1,2820,2024-10,['2024-10']
yucca,1,2821,2024-10,['2024-10']
millions for prisoners iwoc nm,1,2822,2024-10,['2024-10']
unm solidarity encampment,1,2823,2024-10,['2024-10']
letter carriers,1,2824,2024-10,['2024-10']
national association of letter carriers,1,2825,2024-10,['2024-10']
former death row inmate,1,2826,2024-10,['2024-10']
north alabama democratic socialists of america,1,2827,2024-01,['2024-01']
clinton county democratic committee,1,2828,2024-10,['2024-10']
show up plattsburgh,1,2829,2024-10,['2024-10']
family of victim,1,2830,2024-10,['2024-10']
black push,1,2831,2024-10,['2024-10']
new disabled south,1,2832,2024-10,['2024-10']
georgia adapt,1,2833,2024-10,['2024-10']
collective renaissance guild,1,2834,2024-10,['2024-10']
atlanta naacp,1,2835,2024-10,['2024-10']
healthcare workers for palestinc,1,2836,2024-10,['2024-10']
correctional workers,1,2837,2024-10,['2024-10']
more than a stat,1,2838,2024-10,['2024-10']
human justice network,1,2839,2024-10,['2024-10']
catholics for catholics,1,2840,2024-10,['2024-10']
buffalo democratic socialists of america,1,2841,2024-11,['2024-11']
zionist rebel force,1,2842,2024-11,['2024-11']
animals matter,1,2843,2024-11,['2024-11']
resist u.s.-led war portland,1,2844,2024-11,['2024-11']
ilps portland,1,2845,2024-11,['2024-11']
bayan oregon,1,2846,2024-11,['2024-11']
international migrants alliance,1,2847,2024-11,['2024-11']
tenants united santa ana,1,2848,2024-11,['2024-11']
ilps,1,2849,2024-11,['2024-11']
chhrp,1,2850,2024-11,['2024-11']
curyj 510,1,2851,2024-11,['2024-11']
boys and girls club,1,2852,2024-11,['2024-11']
penn state college republicans,1,2853,2024-10,['2024-10']
uva⊙s frank batten school of leadership,1,2854,2024-11,['2024-11']
young illinoisans for harris,1,2855,2024-11,['2024-11']
now mchenry county,1,2856,2024-11,['2024-11']
young democrats of mchenry county,1,2857,2024-11,['2024-11']
boys,1,2858,2024-11,['2024-11']
stop solitary ct,1,2859,2024-11,['2024-11']
christian stronghold church,1,2860,2024-11,['2024-11']
take back our youth,1,2861,2024-11,['2024-11']
cacfj,1,2862,2024-11,['2024-11']
yes on prop 6,1,2863,2024-10,['2024-10']
jmu sjp,1,2864,2024-10,['2024-10']
shenandoah valley anti-war coalition,1,2865,2024-10,['2024-10']
penn state wrestlers,1,2866,2024-10,['2024-10']
jefferson school,1,2867,2024-11,['2024-11']
brown palestine solidarity caucus,1,2868,2024-10,['2024-10']
falasteen diaspora united,1,2869,2024-10,['2024-10']
armenian organized resistance,1,2870,2024-10,['2024-10']
people from across north carolina,1,2871,2024-10,['2024-10']
muslims for a better nc,1,2872,2024-10,['2024-10']
"lady mavs elite organizations, ark of safety ministries",1,2873,2024-10,['2024-10']
atlanta aarpr,1,2874,2024-10,['2024-10']
palestine solidarity working group,1,2875,2024-10,['2024-10']
jvp san diego,1,2876,2024-10,['2024-10']
"codepink, san diego faith leaders for palestine",1,2877,2024-10,['2024-10']
healthcare workers for palestine san diego,1,2878,2024-10,['2024-10']
pym san diego,1,2879,2024-10,['2024-10']
community capacity development,1,2880,2024-10,['2024-10']
democrats for justice in palestine sacramento,1,2881,2024-10,['2024-10']
palestine american league,1,2882,2024-10,['2024-10']
jvp sacramento,1,2883,2024-10,['2024-10']
os wp,1,2884,2024-10,['2024-10']
art 444 the community,1,2885,2024-10,['2024-10']
artists for liberation,1,2886,2024-10,['2024-10']
wrongly incarcerated victims,1,2887,2024-10,['2024-10']
hawaii innocence project,1,2888,2024-10,['2024-10']
aclu hawaii,1,2889,2024-10,['2024-10']
legal services for prisoners with children,1,2890,2024-10,['2024-10']
black in maine,1,2891,2024-10,['2024-10']
people from all different faiths and backgrounds,1,2892,2024-09,['2024-09']
healthcare workers for palestine sacramento,1,2893,2024-10,['2024-10']
moms demand action kalamazoo,1,2894,2024-10,['2024-10']
planned parenthood of michigan,1,2895,2024-10,['2024-10']
families of police shootings victims,1,2896,2024-10,['2024-10']
nakba 75,1,2897,2024-10,['2024-10']
silberman for palestine,1,2898,2024-10,['2024-10']
the civil rights coalition,1,2899,2024-10,['2024-10']
underground scholars,1,2900,2024-10,['2024-10']
lspc,1,2901,2024-10,['2024-10']
free palestine denton,1,2902,2024-10,['2024-10']
hofstra student voices for palestine,1,2903,2024-10,['2024-10']
twin cities ceasefire choir,1,2904,2024-10,['2024-10']
reviving islamic sisterhood,1,2905,2024-10,['2024-10']
brown sjp,1,2906,2024-10,['2024-10']
minnesota abortion action committee,1,2907,2024-10,['2024-10']
mn workers united,1,2908,2024-10,['2024-10']
mn bds community,1,2909,2024-10,['2024-10']
educators for justice in palestine,1,2910,2024-10,['2024-10']
grand rapids aarpr,1,2911,2024-10,['2024-10']
live free usa,1,2912,2024-10,['2024-10']
jvp bay area,1,2913,2024-10,['2024-10']
san bruno for palestine,1,2914,2024-10,['2024-10']
queers undermining israeli terrorism,1,2915,2024-10,['2024-10']
campbell county militia,1,2916,2024-10,['2024-10']
lynchburg constitutional militia,1,2917,2024-10,['2024-10']
mecha de university of utah,1,2918,2024-10,['2024-10']
jvp rhode island,1,2919,2024-10,['2024-10']
asians 4 palestine twin cities,1,2920,2024-10,['2024-10']
unmute humanity,1,2921,2025-01,['2025-01']
harriet tubman center,1,2922,2025-01,['2025-01']
austin anarchist black cross,1,2923,2024-12,['2024-12']
durham prison letter writing,1,2924,2024-12,['2024-12']
baltimore court watch,1,2925,2024-12,['2024-12']
weelaunee coalition,1,2926,2024-12,['2024-12']
greenback guerrilla distro,1,2927,2024-12,['2024-12']
solidarity south florida,1,2928,2024-12,['2024-12']
rochester grants pass resistance,1,2929,2024-12,['2024-12']
droc,1,2930,2024-12,['2024-12']
dare to struggle - southern california,1,2931,2024-12,['2024-12']
nebraskans for palestine,1,2932,2024-12,['2024-12']
young democratic socialists of america at university at buffalo,1,2933,2024-11,['2024-11']
osiders 4 palestine,1,2934,2024-12,['2024-12']
educators for justice in palestine at university of minnesota,1,2935,2024-12,['2024-12']
minnesota peace action coalition,1,2936,2024-12,['2024-12']
mass mutual aid,1,2937,2024-12,['2024-12']
cwa 1180,1,2938,2024-12,['2024-12']
kallpawan nyc,1,2939,2024-12,['2024-12']
people before profit,1,2940,2024-12,['2024-12']
immigrants' rights coalition,1,2941,2024-12,['2024-12']
new abolition movement,1,2942,2024-12,['2024-12']
bolivarian circle,1,2943,2024-12,['2024-12']
haiti libre,1,2944,2024-12,['2024-12']
american muslim women's circle,1,2945,2024-12,['2024-12']
north county 4 palestine,1,2946,2024-12,['2024-12']
pitkin county democratic party,1,2947,2025-01,['2025-01']
league of women voters of alameda,1,2948,2025-01,['2025-01']
100k trees for humanity,1,2949,2025-01,['2025-01']
imam jamil action network,1,2950,2025-01,['2025-01']
psl washington dc,1,2951,2025-01,['2025-01']
national solidarity group of iran,1,2952,2025-01,['2025-01']
city workers for palestine,1,2953,2025-01,['2025-01']
hwdsu,1,2954,2025-01,['2025-01']
ice out! nyc coalition,1,2955,2025-01,['2025-01']
live direct on the air,1,2956,2025-01,['2025-01']
freedom is a must,1,2957,2025-01,['2025-01']
united black caucus,1,2958,2025-01,['2025-01']
los angeles unified dystopian defense,1,2959,2025-01,['2025-01']
central valley community action,1,2960,2025-01,['2025-01']
families impacted by police violence,1,2961,2025-01,['2025-01']
spartacist league,1,2962,2025-01,['2025-01']
open police archives,1,2963,2025-01,['2025-01']
frso oakland,1,2964,2025-01,['2025-01']
racial justice coalition of sd,1,2965,2025-01,['2025-01']
predominantly women,1,2966,2025-01,['2025-01']
"virginia defenders for freedom, justice & equality",1,2967,2025-01,['2025-01']
pasadena for palestine,1,2968,2025-01,['2025-01']
california patriot,1,2969,2025-01,['2025-01']
healthcare workers for palestine nyc,1,2970,2025-01,['2025-01']
north idaho freedom fighters,1,2971,2025-01,['2025-01']
stand up to violence,1,2972,2025-01,['2025-01']
bronx youth empowerment,1,2973,2025-01,['2025-01']
shut it down 4 palestine,1,2974,2024-11,['2024-11']
maine human rights commission,1,2975,2024-11,['2024-11']
maine youth organizers,1,2976,2024-11,['2024-11']
gabriela south bay,1,2977,2024-11,['2024-11']
all power books,1,2978,2024-11,['2024-11']
midnight books,1,2979,2024-11,['2024-11']
socal sjp,1,2980,2024-11,['2024-11']
harriet tubman center for social justice,1,2981,2024-11,['2024-11']
know bias,1,2982,2024-11,['2024-11']
asian youth collective,1,2983,2024-11,['2024-11']
united american indians of new england,1,2984,2024-11,['2024-11']
austin sanctuary network,1,2985,2024-11,['2024-11']
church members,1,2986,2024-12,['2024-12']
indiana department of correction watch,1,2987,2024-11,['2024-11']
freedom community center,1,2988,2024-11,['2024-11']
nurses against genocide,1,2989,2024-11,['2024-11']
physicians for humanity,1,2990,2024-11,['2024-11']
connecticut palestine alliance,1,2991,2024-11,['2024-11']
healthcare workers for palestine new haven,1,2992,2024-11,['2024-11']
svitanok,1,2993,2024-11,['2024-11']
stand with ukraine foundation,1,2994,2024-11,['2024-11']
indiana abolition coalition,1,2995,2024-11,['2024-11']
fridays for future palo alto,1,2996,2024-11,['2024-11']
primarily women of color,1,2997,2024-11,['2024-11']
levy konigsberg llp,1,2998,2024-11,['2024-11']
slater slater schulman llp,1,2999,2024-11,['2024-11']
columbia county for palestine,1,3000,2024-11,['2024-11']
philly iranians,1,3001,2024-12,['2024-12']
"rochester for palestine, veterans for peace",1,3002,2024-12,['2024-12']
minneapolis committee in support of a democratic iran,1,3003,2024-12,['2024-12']
bds pittsburgh,1,3004,2024-12,['2024-12']
johnson county moms demand action,1,3005,2024-12,['2024-12']
fund for a safer future,1,3006,2024-12,['2024-12']
st. mark's episcopal church,1,3007,2024-12,['2024-12']
faith leaders for ending gun violence,1,3008,2024-12,['2024-12']
orange ribbons for jaime,1,3009,2024-12,['2024-12']
justice league ny,1,3010,2024-12,['2024-12']
the people fight back,1,3011,2024-12,['2024-12']
bronx palestine solidarity committee,1,3012,2024-12,['2024-12']
all for oxford resiliency center,1,3013,2024-11,['2024-11']
black lives matter greater ny,1,3014,2024-12,['2024-12']
irvine community with humanity,1,3015,2024-12,['2024-12']
queers for palestine,1,3016,2024-12,['2024-12']
the texas death penalty abolition movement,1,3017,2024-12,['2024-12']
saor eire anois nyc,1,3018,2024-12,['2024-12']
revolutionary student union,1,3019,2024-12,['2024-12']
sarah lawrence socialist coalition,1,3020,2024-12,['2024-12']
committee to support the people's struggle in brazil,1,3021,2024-12,['2024-12']
the cardinal coalition,1,3022,2024-12,['2024-12']
nyc revolutionary youth,1,3023,2024-12,['2024-12']
labor union activists,1,3024,2024-12,['2024-12']
international group,1,3025,2024-12,['2024-12']
workweek,1,3026,2024-12,['2024-12']
december 12th movement,1,3027,2024-12,['2024-12']
children's defense fund,1,3028,2024-07,['2024-07']
bell county democratic party,1,3029,2024-07,['2024-07']
stonewall democrats of nyc,1,3030,2024-07,['2024-07']
gendemocracy,1,3031,2024-07,['2024-07']
middle church,1,3032,2024-07,['2024-07']
new york campaign to abolish nuclear weapons,1,3033,2024-07,['2024-07']
gilbert baker foundation,1,3034,2024-07,['2024-07']
equality new york,1,3035,2024-07,['2024-07']
new alternatives,1,3036,2024-07,['2024-07']
northside action for justice,1,3037,2024-07,['2024-07']
"black lives matter chicago, answer coalition",1,3038,2024-07,['2024-07']
the 411 movement,1,3039,2024-07,['2024-07']
muslim engagement for civic action,1,3040,2024-09,['2024-09']
southsiders organizing for unity and liberation,1,3041,2024-07,['2024-07']
ucla sjp,1,3042,2024-07,['2024-07']
black men build la,1,3043,2024-07,['2024-07']
the people's lake worth,1,3044,2024-07,['2024-07']
central florida queers for palestine,1,3045,2024-07,['2024-07']
'canes for palestine,1,3046,2024-07,['2024-07']
columbian progressives miami,1,3047,2024-07,['2024-07']
south florida antifa,1,3048,2024-07,['2024-07']
arab and muslim ethnicities and diaspora studies,1,3049,2024-07,['2024-07']
westchester muslims for palestine,1,3050,2024-07,['2024-07']
teaching palestine,1,3051,2024-07,['2024-07']
international workers alliance of rank-and-file committees,1,3052,2024-07,['2024-07']
aaan,1,3053,2024-07,['2024-07']
frso_seattle,1,3054,2024-08,['2024-08']
seattle alliance against racist and political repression,1,3055,2024-08,['2024-08']
connecticut palestine solidarity coalition,1,3056,2024-08,['2024-08']
american muslims for palestine connecticut,1,3057,2024-08,['2024-08']
milwaukee liberation center,1,3058,2024-08,['2024-08']
stop the sweeps seattle,1,3059,2024-08,['2024-08']
angelica duenas,1,3060,2024-08,['2024-08']
feel the bern democratic club san fernando valley,1,3061,2024-08,['2024-08']
the social impact center,1,3062,2024-08,['2024-08']
move left,1,3063,2024-08,['2024-08']
valley justice coalition,1,3064,2024-08,['2024-08']
governemnt officials,1,3065,2024-08,['2024-08']
translatino coalition,1,3066,2024-07,['2024-07']
congress of workers' organizations nh,1,3067,2024-08,['2024-08']
high hope freeport,1,3068,2024-08,['2024-08']
dissenters march on the dnc 2024,1,3069,2024-08,['2024-08']
sds at uic,1,3070,2024-08,['2024-08']
anti-war committee chicago,1,3071,2024-08,['2024-08']
psl gainesville,1,3072,2024-08,['2024-08']
ocala for justice in palestine,1,3073,2024-08,['2024-08']
"justice, unity & social transformation",1,3074,2024-08,['2024-08']
palestinian women's association at osu,1,3075,2024-08,['2024-08']
bridges of unity,1,3076,2024-08,['2024-08']
elected officals,1,3077,2024-08,['2024-08']
burleson county republican party,1,3078,2024-08,['2024-08']
elite learners,1,3079,2024-07,['2024-07']
southern nh for palestine,1,3080,2024-08,['2024-08']
school staff,1,3081,2024-07,['2024-07']
east tennessee freedom schools,1,3082,2024-07,['2024-07']
zao milwaukee church,1,3083,2024-07,['2024-07']
mn abortion action committee,1,3084,2024-07,['2024-07']
voces de la frontera,1,3085,2024-07,['2024-07']
milwaukee league of anarchists,1,3086,2024-07,['2024-07']
legalization for all network,1,3087,2024-07,['2024-07']
the national alliance against racist and political repression,1,3088,2024-07,['2024-07']
mexican students of aztlan,1,3089,2024-07,['2024-07']
students for democratic society,1,3090,2024-07,['2024-07']
citibank employee,1,3091,2024-07,['2024-07']
america pack,1,3092,2024-07,['2024-07']
international youth and students for social equality,1,3093,2024-07,['2024-07']
cuban-americans,1,3094,2024-07,['2024-07']
family and friends,1,3095,2024-07,['2024-07']
brevard county professional firefighters union iaff local 2969,1,3096,2024-07,['2024-07']
whatcom democrats,1,3097,2024-07,['2024-07']
dykes on bikes,1,3098,2024-07,['2024-07']
pride in bellingham,1,3099,2024-07,['2024-07']
the church of the brethren,1,3100,2024-07,['2024-07']
joe biden for president,1,3101,2024-07,['2024-07']
black and brown community members,1,3102,2024-07,['2024-07']
urban peace,1,3103,2024-07,['2024-07']
climate alliance of the south sound,1,3104,2024-07,['2024-07']
push harrisburg,1,3105,2024-07,['2024-07']
michigan democratic party,1,3106,2024-07,['2024-07']
world socialist web site,1,3107,2024-07,['2024-07']
cease-fire now nj,1,3108,2024-07,['2024-07']
world socialist revolution,1,3109,2024-07,['2024-07']
alexandria for palestine,1,3110,2024-07,['2024-07']
grassroots global justice alliance,1,3111,2024-07,['2024-07']
about face,1,3112,2024-07,['2024-07']
the national labor network for ceasefire,1,3113,2024-07,['2024-07']
ups and us postal service rank-and-file committees,1,3114,2024-07,['2024-07']
socialist equality party,1,3115,2024-07,['2024-07']
dmv sjp coalition,1,3116,2024-07,['2024-07']
standing together for peace,1,3117,2024-07,['2024-07']
israelis for peace nyc,1,3118,2024-07,['2024-07']
ccpc,1,3119,2024-07,['2024-07']
halachic left,1,3120,2024-07,['2024-07']
win without war,1,3121,2024-07,['2024-07']
the peace & justice bloc,1,3122,2024-07,['2024-07']
denver/boulder jvp,1,3123,2024-07,['2024-07']
various allies of those in solitary confinement,1,3124,2024-07,['2024-07']
families of people in solitary confinement,1,3125,2024-07,['2024-07']
suvivors of solitary confinement,1,3126,2024-07,['2024-07']
nia project,1,3127,2024-07,['2024-07']
cease fire indy,1,3128,2024-07,['2024-07']
peoria for palestine,1,3129,2024-07,['2024-07']
justice for gary wayne sutton,1,3130,2024-07,['2024-07']
curb,1,3131,2024-07,['2024-07']
cleveland for palestine,1,3132,2024-07,['2024-07']
sisterhood of salaam shalom,1,3133,2024-07,['2024-07']
healthcare workers for palestine houston,1,3134,2024-09,['2024-09']
nepa dsa,1,3135,2024-09,['2024-09']
osu lebanese student organization,1,3136,2024-09,['2024-09']
dissent collective,1,3137,2024-09,['2024-09']
sjp dmv coalition,1,3138,2024-09,['2024-09']
loud for liberation,1,3139,2024-09,['2024-09']
sc union baptist church,1,3140,2024-09,['2024-09']
wooster peace collective,1,3141,2024-09,['2024-09']
deep center's action research team,1,3142,2024-09,['2024-09']
change for chee,1,3143,2024-09,['2024-09']
dayton peace museum,1,3144,2024-09,['2024-09']
dayton public schools,1,3145,2024-09,['2024-09']
civilian police accountability council,1,3146,2024-08,['2024-08']
omega community development organization,1,3147,2024-09,['2024-09']
